last_fico_range_low,last_fico_range_high,debt_settlement_flag_Y,sub_grade_freq,int_rate,total_interest_exposure,term,purpose_home_improvement,grade_D,grade_E,loan_to_income,acc_open_past_24mths,fico_range_low,num_tl_90g_dpd_24m,dti,purpose_major_purchase,application_type_Joint App,loan_amnt,il_util,open_act_il,purpose_credit_card,total_bc_limit,mo_sin_old_rev_tl_op,inq_fi,grade_F
0.22603302529223254,0.5574228443049121,-0.17644361332251512,0.8649210728470015,-0.5246821355772612,0.7419063158312401,1.9382587617209663,-0.24363360631642747,-0.3844578857208839,-0.25130296467361335,1.8178412787176947,-0.894275869509978,0.4711915374120537,-0.23069900798014004,-2.938131563290823,-0.14161367681920659,-0.07609836037640627,0.41030298362657375,0.1315254052309926,-1.7853627557609208,-0.5705936086826997,-0.33532635405370215,3.78300258237776,1.5728181535492805,-0.14161367681920659
0.22603302529223254,0.5574228443049121,-0.17644361332251512,-0.9671791077458314,-1.1863611987756726,-0.29173096438130236,-0.5159269854723175,-0.24363360631642747,-0.3844578857208839,-0.25130296467361335,-0.8910570642353114,0.5188217854153274,-0.007567097055697457,3.023102094798077,-0.5813938356093266,-0.14161367681920659,-0.07609836037640627,0.17916511684560796,0.36496152771987617,0.9978689025028186,1.7525608152335408,0.069055931520583,2.0155608391497464,-0.8399907840849994,-0.14161367681920659
0.1996042364629945,0.3112343378565229,-0.17644361332251512,0.003512566884055625,-1.5796010690750844,-0.6526612291009753,-0.5159269854723175,-0.24363360631642747,-0.3844578857208839,-0.25130296467361335,0.23660667829167453,0.9379563611716636,-0.007567097055697457,-0.23069900798014004,0.49303301722310244,-0.14161367681920659,-0.07609836037640627,0.06359618345512506,-2.856456962626717,-0.0788320776805575,1.7525608152335408,0.7720274455307238,3.1136755316878615,-0.8399907840849994,-0.14161367681920659
0.1654871438158531,0.003498704796036522,-0.17644361332251512,0.36350418131633144,-0.8590537618198747,-0.6003661524602064,-0.5159269854723175,-0.24363360631642747,-0.3844578857208839,-0.25130296467361335,0.0408501986799017,-0.894275869509978,-0.007567097055697457,-0.23069900798014004,-1.5958846120035208,-0.14161367681920659,-0.07609836037640627,-0.5142484834972894,1.3920804666709639,1.4447401847892067,1.7525608152335408,0.07370112748665979,-1.22649206262945,0.36641368473214053,-0.14161367681920659
0.17928300827356666,0.12659295802023107,-0.17644361332251512,0.7234957957486072,-0.12908753551557753,-0.6451841916548461,-0.5159269854723175,-0.24363360631642747,-0.3844578857208839,-0.25130296467361335,-0.8968109338103096,-1.5704982704019697,-1.166044404362143,-0.23069900798014004,-0.6527314254199449,-0.14161367681920659,-0.07609836037640627,-0.8609552836687381,0.22489985422654601,0.36803920460583095,-0.5705936086826997,-1.2178381434203958,-0.6826638339439073,-0.8399907840849994,-0.14161367681920659
0.09329484507589371,-0.6119725613249363,-0.17644361332251512,1.0642021451220112,-0.32688483554641934,-0.5314862539470737,-0.5159269854723175,-0.24363360631642747,-0.3844578857208839,-0.25130296467361335,-0.18725719050554968,-1.5704982704019697,-0.4967570192880535,-0.23069900798014004,0.385881966773533,-0.14161367681920659,-0.07609836037640627,-0.6991587769220621,-0.568782962235658,-0.708661775577545,-0.5705936086826997,-0.37798824816554405,0.10170380358331767,-0.8399907840849994,-0.14161367681920659
0.047157187280743494,-0.9812553209975199,-0.17644361332251512,0.7684947475526418,0.20057463120249228,-0.37936429836501945,-0.5159269854723175,-0.24363360631642747,-0.3844578857208839,-0.25130296467361335,-0.11661509535343177,0.5188217854153274,-0.8289070003392792,-0.23069900798014004,-0.8828749239027969,-0.14161367681920659,-0.07609836037640627,-0.7453863502782552,-0.2886596152489978,0.36803920460583095,-0.5705936086826997,-0.7673908328044852,-1.6761961748117256,1.0721150596925926,-0.14161367681920659
0.03924238488756391,-1.0428024476096172,-0.17644361332251512,0.2156504825316465,-0.9744355201711994,-0.03625910460640412,-0.5159269854723175,-0.24363360631642747,-0.3844578857208839,-0.25130296467361335,-0.47185991119049103,0.2617339602796722,2.7228692371348746,-0.23069900798014004,0.15231420521741912,-0.14161367681920659,-0.07609836037640627,0.41030298362657375,-0.1952851662534444,0.36803920460583095,-0.5705936086826997,0.6666803610683101,-1.1114514757921237,-0.8399907840849994,-0.14161367681920659
0.3011314292685568,1.2959883636500793,-0.17644361332251512,0.2156504825316465,-0.9697260606466555,-1.0434084165635,-0.5159269854723175,-0.24363360631642747,-0.3844578857208839,-0.25130296467361335,0.5625756696074939,-0.894275869509978,0.3127368977156651,-0.23069900798014004,-0.5348294008094575,-0.14161367681920659,-0.07609836037640627,-0.8609552836687381,0.6450848747065364,-0.708661775577545,-0.5705936086826997,-0.20702386595767855,-0.7977044207812336,-0.8399907840849994,-0.14161367681920659
0.23897374625020618,0.6805170975291066,-0.17644361332251512,0.909920024651036,-0.6730301106003928,-1.2887123809793097,-0.5159269854723175,4.104524064308335,-0.3844578857208839,-0.25130296467361335,-1.0465444664330497,-0.042336398437073625,2.144153457256163,-0.23069900798014004,0.789048327062717,-0.14161367681920659,-0.07609836037640627,-1.1152069371278004,0.08483818073321588,-0.0788320776805575,-0.5705936086826997,0.6546154202721663,2.6744296546726156,0.36641368473214053,-0.14161367681920659
